search_rank,count
1,47687
2,40676
3,33511
4,15675
5,14097
6,14905
7,9242
8,5864
9,4357
10,5526
11,2235
12,3534
13,1471
14,1196
15,1462
16,701
17,627
18,475
19,396
20,255
21,274
22,310
23,182
24,208
25,181
26,121
27,144
28,81
29,96
30,35
31,67
32,51
33,35
34,42
35,19
36,21
37,20
38,24
39,14
40,8
41,4
42,6
43,11
44,10
45,5
46,10
47,3
48,4
49,6
50,4
51,2
52,5
53,1
54,3
55,2
56,1
57,1
62,1
63,1
68,1
69,1
71,1
72,1
77,1
80,1
87,1
91,1
98,1
